City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,madinat ash shamal,26.1293,51.2009,32.86,67,100,1.65,QA,1690316670
336,labrador city,52.9463,-66.9114,15.95,94,100,0.0,CA,1690316670
337,las piedras,-34.7264,-56.22,13.84,77,75,3.6,UY,1690316670
338,masterton,-40.9597,175.6575,6.6,91,100,5.06,NZ,1690316670
339,bardai,11.65,7.2333,26.63,67,100,4.86,NG,1690316670
340,fale old settlement,-9.3852,-171.2468,28.71,75,17,8.88,TK,1690316670
341,antsiranana,-12.2787,49.2917,22.11,82,91,5.42,MG,1690316671
342,baiao,-2.7906,-49.6717,34.86,33,73,1.11,BR,1690316671
343,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,5.14,EC,1690316558
344,nova vicosa,-17.8919,-39.3719,22.49,88,78,4.29,BR,1690316597
345,dongola,19.1667,30.4833,36.68,10,12,2.6,SD,1690316672
346,hasaki,35.7333,140.8333,24.61,89,63,2.76,JP,1690316532
347,touros,-5.1989,-35.4608,25.75,70,66,7.65,BR,1690316673
348,shahgarh,24.3167,79.1333,29.24,71,99,0.96,IN,1690316673
349,rio gallegos,-51.6226,-69.2181,-5.97,86,0,7.2,AR,1690316673
350,antofagasta,-23.65,-70.4,17.6,78,42,3.79,CL,1690316599
351,ilulissat,69.2167,-51.1,4.01,93,75,2.57,GL,1690316674
352,murzuq,25.9155,13.9184,35.05,11,9,5.18,LY,1690316674
353,sault ste. marie,46.5168,-84.3333,26.31,42,0,3.6,CA,1690316508
354,niquero,20.0431,-77.5828,30.83,65,61,1.73,CU,1690316675
355,mareeba,-17.0,145.4333,18.4,87,52,1.38,AU,1690316675
356,sovetskaya gavan',48.9723,140.2878,17.07,99,97,1.76,RU,1690316675
357,butembo,0.15,29.2833,16.27,83,92,1.34,CD,1690316675
358,kulunda,52.566,78.9385,18.36,55,1,2.59,RU,1690316676
359,palmerston,-12.486,130.9833,16.99,42,0,4.63,AU,1690316676
360,monte alegre de minas,-18.8706,-48.8808,24.33,42,100,2.68,BR,1690316676
361,conde,-7.2597,-34.9075,25.7,69,0,4.63,BR,1690316676
362,sal rei,16.1833,-22.9167,25.01,83,93,5.79,CV,1690316677
363,tamiahua,21.2667,-97.45,29.69,63,100,2.05,MX,1690316677
364,kuta,-8.7233,115.1723,25.0,83,40,5.81,ID,1690316677
